Country,Language
New Zealand,Maori
Nicaragua,Spanish
Niger,French
Nigeria,English
North Korea,Korean
Norway,Norwegian
Oman,Arabic
Pakistan,Urdu
Pakistan,English
Palau,Palauan
Palau,English
Palestine,
Panama,Spanish
Papua New Guinea,Tok Pisin
Papua New Guinea,Hiri-Motu
Papua New Guinea,English
Paraguay,Guaraní
Paraguay,Spanish
Peru,Spanish
Peru,Quechua
Peru,Aymarà
Philippines,Filipino
Philippines,English
Poland,Polish
Portugal,Portuguese (Portugal)
Qatar,Arabic
Romania,Romanian
Russia,Russian
Rwanda,Kinyarwanda
Rwanda,French
Rwanda,English
Rwanda,Swahili
Samoa,Samoan
Samoa,English
Sao Tomé e Principe,Portuguese
Saudi Arabia,Arabic
Senegal,French
Serbia,Serbian
Seychelles,Seselwa
Seychelles,English
Seychelles,French
Sierra Leone,English
Singapore,Mandarin Chinese
Singapore,Malay
Singapore,Tamil
Singapore,English
Slovak Republic,Slovak
Slovenia,Slovenian
Solomon Islands,English
Somalia,Somali
South Africa,Afrikaans
South Africa,English
South Africa,Ndebele
South Africa,Sesotho
South Africa,Sesotho sa Leboa
South Africa,Siswati
South Africa,Tsonga
South Africa,Setswana
South Africa,Venda
South Africa,Xhosa
South Africa,Zulu
Spain,Spanish
South Korea,Korean
Sri Lanka,Sinhala
Sri Lanka,Tamil
St Kitts and Nevis,English
St Lucia,English
St Vincent and Grenadines,English
Sudan,Arabic
Suriname,Dutch
Swaziland,Siswati
Swaziland,English
Sweden,Swedish
Switzerland,French
Switzerland,German
Switzerland,Italian
Switzerland,Romansch
Syria,Arabic
Taiwan,Mandarin Chinese
Tajikistan,Tajiki
Tanzania,Kiswahili
Tanzania,English
Thailand,Thai
Timor-Leste,Tetun
Timor-Leste,Portuguese
Togo,French
Tonga,Tongan
Tonga,English
Trinidad and Tobago,English
Tunisia,Arabic
Türkiye,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Tuvalu,English
Uganda,English
Uganda,Swahili
Ukraine,Ukrainian
United Arab Emirates,Arabic
United Kingdom,English
United States,English
Uruguay,Spanish
Uzbekistan,Uzbek
Vanuatu,Bislama
Vanuatu,English
Vanuatu,French
Venezuela,Spanish
Vietnam,Vietnamese
Western Sahara,
Yemen,Arabic
Zambia,English
Zimbabwe,Shona
Zimbabwe,Ndebele
Zimbabwe,English
